text,target
"A una mujer que le han pedido que deje en paz a un hombre porque es casado ya le vale verga todo, matar o morir dice dice su…",0
¿Quien será el HDP que corta @USUARIO en GDL a las 2:53 pa poner puros comerciales?,1
"@USUARIO y el we me bloqueo, no espero ni 24 hrs  Tantita madre invito. Digo lo hubiéramos echó mas veces O no O si.",0
"Estoy pensando seriamente estudiar otra carrera, soy gay y millenial, prácticamente estoy en la pubertad.",0
Igual me lo pasaba mejor de fiesta si los tíos dejaseis de ser unos putos acosadores y aceptaseis un NO,1
@USUARIO @USUARIO Y el hijo de su puta madre de @USUARIO  cuando saldrá a condenar los hechos ./.,1
"Todos los que tienen nombre que empiezan con U, son putos.",1
En estos días de lluvia tengo que aprender a chiflar! Esos camiones no se detienen 😓,0
no me importa lo que digan esos putos periodistas! hay que alentar a la selesioooon ohhh ohhh hay que alentar la selesiooon! @USUARIO  1/2,1
"Nada me ha hecho más feliz en twitter, que cuando todes en conjunto convierten en meme a las personas que odian la palabra ""verga"". &lt;3",0
@USUARIO Yo no puedo creer que haga participaciones tontas por pensar en que shawn casi ya llega.,0
A un lado mío va sentado un joto que está escuchando corridos JAJAJAA,0
"Jeje Ni hablar mujer traes puñal Ni hablar mujer ,no me quieres perdonar 🎵",0
@USUARIO Que cagado pero hermoso estás,0
"“En tierra de putas, se me cae la calabaza”  -Güalter Bazar",0
No se uds. más que perder el invicto lo que me molesta fuertemente son las PUTAS cornetitas del público hondureño. #HondurasvsMexico,0
@USUARIO CLARO DESDE PUTOS NARCOPOLÍTICOS IGNORANTES PARA EMPEZAR LOS MAS RATAS Y CHAIROS ES LO PRIMERO QUE DEBEN DE SEÑALAR PENDEJO MEDIO VENDIDO,1
"Chingas a tu madre ... Si lo leÉs ... Si no, no hay pedo! 😎🤘",0
Que ya se va a independizar el México del norte? Órale putos váyanse que aquí estorban.,1
Ya se está mamando iTunes con sus putas actualizaciones diarias,0
"-¡Partansé sus putas perras madres! ""Yo ayudando amablemente a dos  parroquianos a arreglar sus diferencias""",0
Se pasa de pendejo este compa,1
"@USUARIO Ya te cansaste que te digan ""TRAPEADOR""? 😂 no mames we.",1
"No mames bro, pensé que eras más grande que yo D: VERGA",0
#RT Gata vive junto a la tumba de su humana,0
"Qué buena y loca vida, si tan solo me hubieran explicado que éste juego se trataba de ser feliz, otra cosa sería.",0
lo unico que quiero es que me dejen en paz con las putas indirectas e insinuaciones,0
"Pensé que la señora estaba gorda, no embarazada.",0
Un huracán con el nombre de mi madre 🤔 ya valimos todos 😔,0
Meeeee putas caga la gente si originalidad ni creatividad 🙄,0
Si son muy pendejos los de la cafe teniendo un chingo de personas para atender y solo tienen 2 putas cajas registradoras,1
Ojalá le de una pinche parasitosis cabrona de Ascaris para que se le quite,1
@USUARIO @USUARIO Exactamente así es tu nariz Prieta 😂😂😂😂,1
"Quiero escucharte decirme ""¿pero querías verga no?"" Ó ""dámela toda""",0
"Se pasó de verga jajajaja al inicio me caía mal, luego la trate y creí que estaba equivocado, pero ah…",0
Espero que te hayas lavado las putas manos después de eso,0
Que les hace pensar que estamos siguiendo el juego de esa golfa!,1
"@USUARIO vos cholero de mierda, llegaste a Guatemala para hacerte rico siendo diputado hdp. En Chicago limpiabas la nieve de las casas",1
@USUARIO Está cabron,0
"Arriba el exceso abajo la medida, mi vida loca por naturaleza, intoxicado de los pies a la cabeza",0
"""Porque mean parados piensan q son hombres“ jajajajaja q hdp",1
Que rica puta perra con ganas de ponerte a mamar mi verga y bañarte de leche,1
"#EsFeoCuandoTeEnteras que aunque nunca platicas de sexo, siempre hablas de la verga, verdad @USUARIO??",1
Chinga tu madre Trump,1
No le crean nada a esa gorda sólo miente para convivir y qué le pongan la atención qué su familia no le da.,1
"Si no mueves ni un músculo para conseguir lo que deseas, entonces no estés mamando.",0
"Ustedes se sienten muy pinches machos pero nunca han comido un taco de araña de maíz !  Putos.  (Están bien ricos, como los chapulines ) <URL>",1
Ya por sus putas chamarritas estan trabajando??? Que no pinches mamen yo trabajo a las 04 am sin chamarra bola de putos,1
Te la mamaste jajaja 😂👌  Pero al menos el tuyo estuvo blandito jajaja,0
"Si cuando ya vamos a estar a punto de coger y te digo que te voy a dar por el culo y me dices que no, mejor te vas a la verga pendeja.",1
"Nuevo aporte: Mi Mujer Mega Culona Vaya Que Sabe Saltar En La Verga,una Puta Diosa",0
La chica de humo es la mejor canción del pop en español. Fav si estás de acuerdo. Putos no.,0
Mínimo con 3 tortillas por taco mana eso no ha de llenar ni madres jajaja,0
#InyecciónLetalParaLGBT si me eligen como su próximo presidente prometo legalizar eso  Prieta la esperanza de mejico :v,1
"El contexto sirve como referencia,  no es ley, pero si a esas vamos...  Putos todos!!!",1
Y si en tus putos 16años de vida no as sido que se hace?,0
"@USUARIO @USUARIO Patricia perdió fuerza porque en México tenemos la sierra madre occidental, aquí desgraciadamente no hay nada que lo detenga 😕",0
Nunca se habían cagado tanto en mi como esta persona,0
"@USUARIO Hoy quedan fuera putos argentinos, claro si esque no les ayuda el árbitro como siempre, partidos localistas y bien descarados!!! A la verga",1
"Me dan asco los hombres peludos me dijo hoy una tipa gorda, fea, naca y de dientes chuecos. Obviamente no le respondí nada.",1
Estoy re gorda de panza amigo necesito volver a mi panza de antessss,0
Lo bueno de que mañana tenga examen de urología es que MI EQUIPO EXPUSO TODO A LA VERGA PASENME UNA BUENA PELICULA PA VER AHORITA 😋,0
#Una #noche #De #Copas #Una #noche #loca en Mandara resto/bar,0
@USUARIO @USUARIO @USUARIO ponte a chambear en Oaxaca hijo de tu puta madre y deja de andar de lameculos.,1
Simplemente me levantaron las ganas de ir al baño. Eran las 3:48am y ya no me pude volver a dormir. El mismo puto insomnio otra vez.,0
"Hasta ahorita me enteré que volvió a empatar argentina, vale verga que decepción",0
[Video] El reto de ser madre y profesionista. ¿Cómo le haces? - #MujeresEmpoderadas,0
"Catalanes sus putas madres, para mi todos son gachupines y alv.",1
Maricon inyectado con esteroides un hombre se disculpa de verdad busca al reportero y pide disculpas,1
Si guardo comida abajo de mi cama ¿soy una gorda?,0
@USUARIO También estás bien chichona para meter mi verga y hacerme una rusa,0
Voy a valer madre (otra vez) en este día.,0
Está dlv no poder intentar nada bien con nadie por seguir enculada con una persona a la cual hace mucho le valws verga,0
@USUARIO Eres un puto dios Miguel enséñame a jugar mortero :0,0
Todos los chavos que me han gustado bien terminan comportándose como viejas ardidas nmmn ni yo me pongo así por equis cosas,0
Me pongo triste de saber que una mujer tuvo la mala suerte de ser su madre.,0
Está de LA VERGA que tu cabeza sea tan pequeñita ¿Qué vergas te hace creer que tienes la verdad absoluta?,1
Mi vida es un tutorial de cómo hacer las cosas de la verga.,0
Stream en 10 minutos. Hay que aprovechar a la vieja Mercy antes que llegue la Mercy luchona 2.0 :v #Overwatch #Mercy,0
"Dime tú que es mi amor, lo que me hace volverte loca.",0
Tambien esa pendeja chingue su madre,1
Pinche enfermo de mierda trastornado. Marica hijo de tu puta madre.,1
Aun sigo con la pregunta? Y ese que putas no se quiere o que jajajajjaa,0
Está muy cagado que ya en la ingeniería te castiguen llevando dulces cada que dices una grosería.,0
"Gracias @USUARIO , dos putos días más sin internet. servicio de 5ta. 😬 Su solución es apagar prender o voltear el modem, valla mierda😤",0
Vete a la verga chamaca tonta,1
Me gusta la verga de Antonio Donat y el culo de Claudio GN😋,0
Profe hijo de las mil putas 6 de calificación como es posible.,1
Ya rasurado y de azul vamonos al trabajo #Bulto #Gay #AmoMiBulto #DeNuevoTarde jajaja tengan un excelente día,0
"Ya ni quien te pele y sigues mamando verga, puto narizon.",1
Ay putas igualito 😒 Siempre estoy ahí para todos. Nadie está ahí para mí. La historia de mi vida 😣😞😔😭😠,0
"@USUARIO que sea tu sueño es una mamada, pero de que debe estar cagado, la neta si.",0
Tu sabes que me vuelves loca y tal vez confesar no es la mejor opción 🍻😔,0
"Mi vida se basa en tareas de Plantas y Recursos Naturales. PUTAS plantas, ya sueño con ellas. Ayuda 😭",0
A MÍ ME GUSTAN MAS GRANDES QUE NO ME QUEPA EN LA BOCA LOS BESOS QUE QUIERA DARME Y QUE ME VUELAN LOCA,0
Qué pasa cuando tu ex sigue clavada y piensa que la sigues buscando? Por qué no me supera? Ya pasaron 2 putos años 😠,0
"@USUARIO Jajajaja ya saben son bien PUTAS ZORRAS OFRECIDAS pero que no se pasen de verga con el abuelito, lo quiere para sacarle billetes, la  PUTA",1
Siento que me estoy poniendo gorda y bofa &gt;.&lt;,0
Eso es lo que son ustedes @USUARIO unos corruptos traidores. Pasaras a la historia como el adeco mas HDP que ha tenido Venezuela!,1
Todo pendejo él bato ya no supo que decir maldito marica!! Viva Pique viva Cataluña!!,1
"Sólo te gusta joderme la existencia. Morra, si me quieres, dímelo. Verga.",0
"Jajajajajaja shales carnal, saludame a la golfa de Daniel",1
Neta que si me hizo enojar eso pero ahorita no puedo ponerme loca.,0
Puto Subaru ahora entiendo porque me dijeron que lo iba a odiar,0
"La pana que salga conmigo tiene que entender una sola verga... ""siempre pero siempre tengo hambre""",0
"@USUARIO Nel, alv me vale berga prro, jalate jijue tu puta berga, me vale berga prro. 😂😂😂",1
"No puedo creer que este en la semana del prope y ya me hayan dejado como 20 tareas, una maqueta y taaaanta madre. No me quiero imaginar.🙅🏻🙄",0
"Lo que más deseo, es que se queden sin mundial los putos chilenos de mierda.",1
"Ok, esta bien que habrán biblioteca a las 6, que les den cobijitas, pero que les den hasta desayuno y todavía hablen mal de CEM, que putos.",0
1 Fav y no entro a Psicopato porque estoy muriendo por los PUTOS cólicos.,0
Un güerito para que ilumine mis noches 😍 #gay,0
"Personas que no son feas, son abstractas...",0
"¿Alguien sabe dónde se consiguen las pastillas de ""Me Vale Madre""? Neta que necesito una caja...",0
"Putos dientes, nen. Recúperarte querido Antonio Carmona.",0
Como siempre!! el puto árbitro beneficiando a las gallinas. Roja a Cardona por un golpe inexistente!!,1
@USUARIO Ya se creo que tú has visto más cosas feas que yo,0
"#SinceramenteNecesito unas putas caguamas, escuchando rock... ponerme hasta la madre.  ¡YA!",0
#MensajeTuyoQueDiga Albergue encuentra empleo perfecto para gatos huraños,0
Es lo mas rico que he visto un gordo godinez con verga gorda y huevon #vergagodinez nuevos aportes,0
De verdad extraño la voz de mi madre.,0
@USUARIO @USUARIO @USUARIO Nop yo no soy un lameculos de ese pinche cerdo como Uds pinche pasquin inmundo!!!,1
@USUARIO Carcel a @USUARIO X golpeador maricon y drogadicto. Su puta madre no lo educo por eso lo agarraba de a perrito Ernesto Alonso putoteee,1
Alto ahí cabrones no mamen me voy a volver loca con tanto...,0
Siempre Mean Gustado Eso Tres Putos Lunares Que Tienes/)😽,0
Juró que nadie es más HDP que yo. 😈💕😏,0
"@USUARIO Por fin, ya estaba hasta la madre 👊",0
Nunca estamos preparados para la perdida d un ser querido duele tanto y mas si es un familiar una madre un padre… <URL>,0
JAJAJA amor está niña esta loca 🙄 io ni le pido fotos o algo aziii eee,0
"Ella me mando a la jodida que por chaparro y por feo y yo le dije que si, que si es cierto 😂",0
Hijos de su pinche madre (lamemelapanucha) jajajaja,1
#LuceroMexico se me hizo gorda verla cantando el himno en la pelea #CaneloGGG,0
@USUARIO @USUARIO Un saludo al auditorio y tu.chinga tu madre por robar en @USUARIO,1
"Juego mil veces mejor que el puto Samudio, me cago en todos.",1
"Qué verga con los que salen del GYM y prenden un cigarro. No es sólo salud, ¿qué no les arde el pecho y les duele la vida? #hombreescandalo",0
Por eso prefiero no acordarme de mis putos sueños 😓🙄😒,0
Hoy amanecí con ganas de mamar verga todo el día ! 👌🏻🤞🏼,0
"No se como le hacen las chavas para llegar hasta con los labios pintados, yo Llego  y Luis me dice que me veo de la verga sin maquillaje😒😂",0
@USUARIO @USUARIO Ah pero uno les dice feas y marchan las cabronas!,1
"Está súper verga no esperar nada y alegrarse al saber que es así, o séase, que me vale verga.",0
Ah qué putas ganas de arrancarte los labios a mordidas.,0
En #Tijuana recupera policía a niño q había sido extraído de los brazos de su madre en #Villahermosa #Tabasco,0
uuuugh me estoy haciendo súper tonta en estooooo,0
"@USUARIO Ay tú, pinchi esposa luchona ofendida. Era recomendación, haz lo que tú gana de te. Pos este 😠",1
No hay mejor sensación que darte cuenta que algo te vale chingos de verga 😋,0
y a la gente de chivas que putas le importa lo que haga la selección de Chile!???,0
"Culiar a pelo pa vaciarme adentro, si no te late es sexo duro y cerdo largate. puro putito aguantador.",0
"No sé ustedes, pero a mí se me hace gorda.",0
Se puede tomar como un cumplido 🤔,0
Hoy vi a una mujer usando una blusca con estampado de putos minions #VicLife,0
"ya la me vale verga, mejor ahora antes de planear boda",0
"Todo suena tan lindo, sexi y gracioso... putas combinaciones de perfección se avientan en todo lo que hacen y dicen",0
de llorar como maria magdalena aunque nos hayamos dicho cosas feas la sigo extrañando un friego que es soltar,0
@USUARIO tremendo hdp y así quieres ser presidente 🖕,1
"Ya ni en Twitter te dejan mamar agusto, pinche sociedad sensible y marica.",1
"Que bonito dia y que agradable mañana, perfecta para valer verga :) !!",0
pala madre estan haciendo pedazos a los @USUARIO que alguien pare eso😬,0
Jajajajaja mejor que vaya a prohibir a su casa a los deportistas q los deje empaz. Vieja loca,1
¿Cómo le explico que mis tuits no son para el y deje de mamar?,0
pongan sus putas direccionales que no están de adorno,0
"Pues estamos alrrevez!! Yo no te veo gorda, y tu no me vez gordo! Pero si estamos gordos!!! Y nos da hambre en la noche!",0
"Ojalá alguien me pagara para decir que esto es falso hijo de mil putas muerto de hambre, así como tu lucraste con el sismo",1
mija: ni larga que tope... ni gorda que tape.. sino dura que dure,0
"Ahora sí sentí que valía verga y nos asaltaban, necesito diez bolillos ""para el susto"".",0
"A mi no me a bloqueado nadie, pero si quiero que me bloquee la loca de los tatuajes, su locura no valla a ser contagiosa",0
#AmiMeGustaElSexoY la verga del Canelo. #DomingoDeGanarSeguidores Esta imagen no es patrocinada por Cerveza Corona. htt…,0
"No está mal decir Verga. Por ejemplo, Paraguay valió Verga en el fútbol. 😔",0
Un hot dog pero de la salchicha más gorda,0
"Estoy cagada de miedo pero si todo sale chingon, les invito whisky, coca y putas",0
Septiembre con S de Siento que ya valio verga... #Septiembre,0
"Venir a pagar el cable y ahorrar para comprarle ropa a mi novia no me hace menos hombre, putos.",0
Estoy bien estresada escribiendo esta madre y ni siquiera sé si la van a leer.,0
Ya consiganse un novio o novia como mejor les parezca pero dejen de mandarme tantos putos mensajes 😒,0
@USUARIO A la verja me vale verja perro :v  Jálate hijo de tu puta verga a la verga!!! Vergazos conmigo a la verga!!!,1
"Que miseria de ser humano este futbolista. ""Arbitro hijo de las 60 mil putas"": Costly a César Ramos <URL>",1
"Ustedes si puden andar de chanceros, pero cuidadito y seamos nosotras porque luego luego empiezan a mamar, hijos de la chingada.",1
Hay gente que no merece ni que sientas cosas feas por ellas.,0
“El nombre del viento” o “Memoria de mis putas tristes” 👌🏻,0
"Saben nunca creo que @USUARIO me de follow literal, por qué siempre tiene que existir el puto favoritismo? #SebasA4M",0
¡Mamá Luchona! Dejó su hijo por 45 Minutos en el auto por ir de compras al centro,0
Como diría mi amigo LUIS EL TRI de BANDA BOSTIK A huevo chingada madre... los feos somos los mejores Yeah!!,0
"Putos hondureños cagada, ojalá Australia los regrese a casa con el culo roto",1
"Valentin tenía razón:""es mejor terminar como amigos,que ser como enemigos,esperando atacar"", ya no pelearé a esa loca nayarita. :p",0
Solo las mujeres los niños y los putos usan chanclas de pata de gallo... 😂,1
"Si Warner calentó motores para que los estudios comiencen a exigir más porcentaje de cuota, Dinsey puede mamar a lo grande.",0
Yo siempre voy a acompañar a gente a todos putos lados ... Y a donde pinches yo quiero no . Real ya se me está acabando la paciencia,0
Hasta parece que me dicen que deje ir como gorda en tobogán y ahí voy a hacer caso! 🙄😬😁😍,0
"Si no hay WiFi disponible, la PixelBook se conecta automáticamente a tu #GooglePixel2...para tragarse tus putos datos",0
Como le encanta la verga Ayudenme con sus rt @USUARIO @USUARIO @USUARIO @parejacachoond5,0
la envidia esta cabrona CON TELMEX Y SHAWN,0
Obviamente como yo soy bien corriente me vale verga lo que piensen si la uso.,0
No soporto a los hombres que creen que una mujer vale menos solo por decir groserías. Pendejos hijos de su puta madre.,1
Creo que es de las pocas veces en mi vida en que en verdad la he cagado.,0
"Ahora el ABORTO de ""frente ancho contra Mexico"" VOTANDO Nuevamente en FAVOR del #GASOLINAZO, los…",0
mi pareja cojiendose a un chavo y foto de su rica verga el inter,0
La que se veía súper mal era Demi Lovato porque se mamo con el escote y el peinado le quedo feo,1
@USUARIO @USUARIO ahí está la ardida de aná morquecho es una manipuladora que al ver la felicidad de otro le.da tanto a su ego,0
aparte de mi madre y hermana tu @USUARIO tu eres la tercera mujer mas hermosa que he conocido 😊❤.,0
Necesito ponerme pedo más seguido. Hoy ya me andaba meando con dos gomichelas de joto.,0
"Podrán decir que soy una ardida, pero no, lo digo con fundamentos. Los hombres son una puta basura de mierda, perros, hijos de la chingada.",1
MALDITO RETRASADO MEBTAL HIJO DE CIEN MILLONRS DE PUTAS PINCHE ABORTO DE LORO,1
Ganando como putas siempre con mis gordas adoradas #PepeyTeo🌈 😘😘😘😘😘😘😘😘😘😘😘  #Aguascalientes,0
Cuando va a ser el día que encuentre a alguien en quien pueda  confiar posts la re puta madre?,0
Necesito 9 o más puntos para no perder vs el joto de Scabies.,0
"su puta madre, estoy bien pendejo. No entendí ni madre.",0
@USUARIO está súper chichona más que @USUARIO 🤣 #NocheDeConfesiones,0
Si me dieran $100 pesos por cada vez que me dicen “te deberías comprar un coche cómo ese” ya tendría mi puto coche.,0
"@USUARIO Telésfora o Panchita, la luchona ¿ Cuál queda mejor?",0
Hijos de las mil putas!!!!! a ver sí mano a mano serán tan valientes escorias!!!!!!,1
"@USUARIO Sólo lo comparto, pero tienes razón... ¡Todas las #Mujeres son feas! 😅🤔🇲🇽",1
"Hoy es uno de esos días en los que me levanto y digo ""puta madre que horror mi cara""",0
"40 putos minutos esperando un camión bajo la lluvia. Cuando llegó, iba tan lleno que no hizo parada. Del alma me salió un “No seas mamón”.",0
"Al sur de Italia, en Tropea, la normativa prohíbe a las mujeres gordas, feas o poco atractivas mostrarse desnudas en la playa.",0
"@USUARIO Putos y mas los de la taqueria ""Manolos"" ese puto Chavo-ruco me revienta los huevos.",1
"No iba a tuitear nada, pero me acorde que las pinch.. Viejas ardidas no pueden estar sin leerme. 🐩💅",0
qué onda con esto!!,0
¿SON LAS NUEVAS GENERACIONES MÁS TONTAS QUE LAS ANTERIORES? <URL>,0
Hijos de sus putas madres !!  No sé cuál es más pinche feo !!!,1
"@USUARIO @USUARIO @USUARIO Si pero porque hay lameculos en la coparmex, simpatizantes del opus day y grupitos pedorros de ese estilo. Con honor a la verdad no lo es.",0
Alguien dígale a esa gata que ya puede ir de arastrada con toda confianza con él. 🙄,1
"Si pero porque hay lameculos en la coparmex, simpatizantes del opus day y grupitos pedorros de ese estilo. Con honor a la verdad no lo es.",1
Ella es una gata que se cree perra.,1
"Pueblo: Hey, imbécil el país está de la verga hace algo.El imbécil:",0
Neta meter al wero 🤔🤔 pero para meterlo a un costado se mamo neta!!,0
"Por que critican tanto a las putas, si bien que les gustan.",0
@USUARIO @USUARIO @USUARIO Maricon... Con ellas si pero con uno se le arruga. pinche cobarde🖕,1
"Como pidiendo dinero los millones de la selección, cuanto dejaron pasar millones de dólares solo por veneficiar a Televisa..uuuu putos.",1
HIJOS DE LA CHINGADA PARA SUS PUTOS FESTIVALES RUIDOSOS E ILEGALES SI TIENEN MADRE NO?A LA CARCEL ZULEYMA Y MONRATA,1
"@USUARIO comiendo camote autoridades , la creen de hule, las presas nos pondrán como arenita <URL>",0
"Gente, cuando estén en la calle, en los andenes del metro, o subiendose a un camión TENGAN TANTITA MADRE y no se detengan a mandar msjs !!😠😠",0
¿Porqué la gente muy inteligente es rara o parecería estar loca?,0
"Canten #Razon ahora que vengan a Mty con dedicación a mi novia, está loca por ustedes 🙏 #Deaquial20",0
#TodoElMundoMeDiceQue  Cuando te casas? Yo me hago la loca y les digo: Las saladitas son horneadas...😂😁😀😍😘😎,0
Conozco gente estúpida pero el cholo Sotile ya se pasa . Que antiBoca que es el hdp,1
"@USUARIO Sabía, en menos de una hora regresarías, causó ese efecto, siempre los pendeja como tu regresan y caen 😂😂😂😂😂😂 prieta cachetona lo sabía 😂😂😂😂",1
"Ojalá arrase con tu puta madre, te parió muy pendejo, cerebro de mierda!",1
PACO MEMO CHINGAS A TU PUTA MADRE LÁRGATE DE LA SELECCIÓN.,1
@USUARIO Jajajajajaja no mamar mi @USUARIO ahora sí para que veas vas a pagar tus multas para recuperar tu Jeep y seguir #haciendoladepedo,1
"@USUARIO Pinche viejo pendejo, apuesta tu chingada madre, déjate de mamadas y de estar engañando pendejos.",1
"Hoy volví a hacer ejercicio después de mucho tiempo de amarranarme. Chingo a mi madre si lo dejo otra vez, guarden este tuit.",0
Quisiera decir lo mismo pero yo no marica! 🙂🙃🙂🙃🙂🙃jajajaja soy bien chida jaja,0
Está bien de la verga que le digan putas a sus novias así como si naaa’ :(,0
"@USUARIO @USUARIO @USUARIO Puede que sea muy buey, lo seguro es que es uno de los lameculos preferidos del sistema…",1
"Feas que se creen guapas, guapas que se creen feas y luego estoy yo, que soy guapa... y lo tengo claro.😌💅💄",0
LOS PUTOS SIEMPRE QUIEREN TODO DE A GRATIS jajaja no mamen 😂,1
Aquí se las dan de muy putas y ni la saben mamar. Y les quieres meter el dedo en el culo y te quitan la mano.,1
Y Tu el mio amigo roko NADIE lo interpondra Putos por siempre digo amigos 😏,0
Me quemé un dedo con el sartén por gorda desesperada,0
"Se puso loca una de Bangladesh, a la verga la democracia decía, creo que nos quiere matar en secreto, qué bueno que no soy white.",0
Que chingona es la sensación de dibujar por simple diversión; tan cabrona que se te pueden ir las horas como si se tratara de un videojuego.,0
"Me kgan los weyes que manejando se te meten de la nada, pero me kgan más los que no te dejan meter aún cuando les marcaste. Putos.",1
"mientras hago threads, o recibo DM's o me los citan acusándome de un millón de cosas MUY tontas, no les hago caso pero acaba de llegarme +",0
"En enero seré madrina, y bueno, seré una madrina luchona Jajajaja 👶🏻👩🏻💙",0
